uid,duration,up_flow,down_flow,up_and_down_flow,flow_pers_avg,start_time_stamp,end_time_stamp,mid_time_stamp,count,count_day_column,duration_everyday
0000B0540F08BB99C22D22219A1B47A2,0.0535714285714285,0.0640908627254554,0.0535367675650676,0.0618865665393471,0.0068390914412073,0.7949494742129127,0.7950085530247037,0.794988881644047,0.0,0.15,1308.75
00022474E06735ACCAC428E1AC7EAC16,0.4183531746031746,0.0,0.0,0.0,0.0,0.6379777243473692,0.6384032340192507,0.6381743738344091,0.0134453781512605,0.45,664.1428571428571
00028CD7D203AF88C4FE4D0A83A0016E,0.2916666666666667,0.002127659574468,0.0024106066693451,0.0023341762303053,0.0023341762303053,0.4915440496362108,0.4917833331182344,0.4917318282615197,0.0,0.05,164.0
00046AA87AAF8C9971F99597ED7D90DF,0.2133067733266146,0.0245450077559029,0.0838837682704276,0.0536048843046329,0.0036428954457965,0.6047682510219979,0.6049848737689055,0.604840673102761,0.0434173669467787,0.4,1857.0
0005BB047145A248C3878E7E516A093D,0.0931547619047619,0.0206383659858083,0.1984294027186454,0.1076289789885976,0.0334601340486445,0.6267293371259511,0.626861732626487,0.6267137619695767,0.0105042016806722,0.15,1049.1666666666667
0006506ECE84442A678FC8592E4C3EB4,0.2857142857142857,0.0,0.0,0.0,0.0,0.8419724505151059,0.8422697596888457,0.84212506366625,0.0,0.0,0.0
0009514C53AB4B46CB54D47C48747559,0.1071428571428571,0.0,0.0,0.0,0.0,0.6743484613642092,0.6744637361628039,0.6744412567954151,0.0,0.05,10.0
000BAAE919BA2557AC8AD58A7276AA3A,0.0125248015873015,0.0595088304545656,0.0392077958134789,0.0517191905356268,0.0343745437152589,0.8726394342706814,0.872672655951479,0.8726542825670605,0.009453781512605,0.15,346.1666666666667
000BAC3E23007010346E79B1ED5D25E2,0.0689153439153439,0.0032404652965485,0.0038290351710847,0.0036601090817145,0.0017690731471648,0.6945948366004832,0.6946398039808225,0.6946985997827765,0.0210084033613445,0.1,794.8
00133AFC39ACF35799E8956D183D6417,0.2708333333333333,0.0,0.0,0.0,0.0,0.3380221010088672,0.3383108552651264,0.3382366612462779,0.0021008403361344,0.05,43.5
